
AMOXICILLIN CAPS 500MG
AMPICLOX 500MG
AMOXYCLAV 625MG
ASCORIL SYRUP
AllUGEL SYRUP
AZITHROMYCIN TABS 500MG
AZITHROMYCIN SYRUP
ATROPINE INJ
ABZ 400MG
ABZ SUSPENSION
BRUFEN TABS
BRUSTAN
BUSCOPAN INJ
BUSCOPAN TABS 10MG
BRONKOF SYRUP
BETAPYN TABS
BECLOMIN CREAM
BETASON CREAM
CEFRIAZONE INJ
CEPHALEXIN 500 MG
CLOZOLE B CREAM
CELABET
CETIRIZINE TABS
CETIRIZINE SYRUP
CIPROFLOXACIN 500 MG
CYCLOPAM
CIPLADON
COARTEM (AL) 24's
COLD CAP
COX B
CALAMINE LOTION
DEPO PROVERA
DICLOMOL 100MG
DICLOFENAC GEL
DICLOFENAC INJ
DOXYCYCLINE 100MG
DEEP HEAT RUB
DOLOACT
XTRADERM CREAM
EFFERMOL 
ESOMEPRAZOLE 20MG
ENZOFLAM
FLUCONAZOLE 150mg
FLUGONE CAPS
FLUGONE SYRUP
FLOXAPEN 500MG
FOLIC ACID
FENPLUS
GAVISCON SYRUP
GASTROGEL SYRUP
GRISEOFULVIN 500MG
GUTT HYDROCORTISONE 
GUTT DEXTRACIN
GUTT GENTAMYCIN
GUTT PROBERTA-N
GUTT DICLOGENTA
GUTT PHARMASINE
GUTT ORBIDEX
HYDROCORTISONE CREAM
HYDROCORTISONE INJ
IMACOFF SYRUP
LOMIDE
LEVOFLOXACIN
LACTULOSE SYRUP
MEFENAMIC ACID
MELOXICAM 7.5 MG
METRONIDAZOLE
MYOSPAZ
M/VITAMIN TABS
M/VITAMIN SYRUP
NEUROBION FORTE
NOSIC TABS
NITROFURANTOIN
NIFEDIPINE
OMEPRAZOLE CAPS
PCM 1G TABS
PARACETAMOL SYRUP
PIRITON TABS
PIRITON SYRUP
PIROXICAM 20 MG
PREDINISOLONE 5 MG
PESSARIES 
RANFERON SYRUP
RELCER GEL SYRUP
RILIF MR
SECNIDAZOLE 2'S
TEO SKIN
TEO EYE
TINIDAZOLE 4'S
TAMEPYNE
TRANXENAMIC ACID
TRICOFF SYRUP
TUSPEL SYRUP
VIOLIN GEL
VENTOLIN TABS
WHITEFIELD OINTMENT
ZULU TABS




































































